date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:44	71682/71682	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2011:41:08%20GMT	https://html.themeholy.com/tourm/demo/home-travel.html	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/home-travel.html	(from )
14:25:45	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Aug%202024%2008:55:45%20GMT	https://html.themeholy.com/robots.txt		(from )
14:25:45	1800/1800	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
14:25:46	1868/1868	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
14:25:46	1836/1836	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
14:25:46	1895/1895	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
14:25:47	2774/2774	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
14:25:47	2936/2936	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
14:25:47	3585/3585	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
14:25:48	3840/3840	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:41:12%20GMT	https://html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/Tour%20Nd%20Travel/html.themeholy.com/tourm/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/tourm/demo/home-travel.html)
